time,ax,ay,az,atotal
0.000,0.22,0.03,-0.22,0.31
0.010,0.07,-0.04,-0.49,0.50
0.020,0.08,-0.07,-0.29,0.31
0.030,0.17,-0.06,-0.14,0.23
0.040,0.18,-0.06,-0.06,0.19
0.050,0.12,-0.05,-0.01,0.13
0.060,0.09,-0.03,-0.01,0.09
0.070,0.07,-0.02,-0.05,0.09
0.081,0.07,-0.00,-0.07,0.10
0.091,0.09,-0.02,-0.05,0.10
0.101,0.09,-0.05,-0.05,0.11
0.111,0.08,-0.06,-0.04,0.11
0.121,0.06,-0.07,-0.02,0.09
0.131,0.00,-0.06,-0.01,0.06
0.141,-0.01,-0.03,-0.02,0.04
0.151,-0.01,-0.01,-0.00,0.01
0.161,0.02,0.01,0.01,0.03
0.171,0.06,0.02,0.01,0.07
0.181,0.12,0.02,-0.00,0.12
0.191,0.17,-0.01,-0.04,0.17
0.201,0.20,-0.05,-0.05,0.21
0.211,0.16,-0.09,-0.02,0.19
0.221,0.11,-0.10,-0.01,0.15
0.231,0.06,-0.08,0.01,0.10
0.242,0.01,-0.05,0.02,0.05
0.251,-0.01,-0.02,0.05,0.06
0.261,-0.02,-0.00,0.06,0.07
0.271,0.01,0.01,0.06,0.06
0.281,0.05,0.01,0.04,0.07
0.292,0.11,-0.03,0.04,0.12
0.302,0.14,-0.07,0.08,0.18
0.312,0.18,-0.10,0.10,0.23
0.322,0.19,-0.10,0.09,0.23
0.332,0.14,-0.09,0.07,0.18
0.342,0.11,-0.07,0.05,0.13
0.352,0.09,-0.05,0.04,0.11
0.362,0.10,-0.05,0.03,0.11
0.372,0.11,-0.05,0.02,0.12
0.382,0.10,-0.04,0.01,0.11
0.392,0.10,-0.03,0.02,0.10
0.402,0.10,-0.03,0.03,0.10
0.412,0.09,-0.02,0.03,0.10
0.422,0.09,-0.04,0.02,0.10
0.433,0.06,-0.05,0.01,0.08
0.443,-0.00,-0.05,0.03,0.06
0.453,-0.03,-0.05,0.05,0.08
0.463,-0.04,-0.05,0.08,0.10
0.473,-0.04,-0.04,0.10,0.12
0.483,-0.03,-0.02,0.11,0.12
0.493,-0.01,-0.02,0.11,0.12
0.503,0.02,-0.05,0.11,0.12
0.513,0.02,-0.10,0.09,0.13
0.523,-0.00,-0.10,0.08,0.13
0.533,-0.05,-0.08,0.08,0.13
0.543,-0.03,-0.04,0.09,0.11
0.553,-0.02,-0.02,0.08,0.09
0.563,-0.04,-0.04,0.11,0.12
0.574,-0.05,-0.12,0.16,0.21
0.584,-0.09,-0.16,0.20,0.28
0.594,-0.15,-0.13,0.23,0.30
0.604,-0.20,-0.09,0.19,0.29
0.614,-0.21,-0.03,0.12,0.24
0.624,-0.17,-0.00,0.09,0.19
0.634,-0.11,-0.01,0.08,0.14
0.644,-0.07,-0.03,0.07,0.10
0.654,-0.04,-0.04,0.01,0.06
0.664,0.01,-0.05,-0.06,0.08
0.674,0.04,-0.03,-0.08,0.10
0.684,0.06,-0.00,-0.07,0.09
0.694,0.09,0.02,-0.04,0.10
0.704,0.09,0.03,-0.05,0.11
0.714,0.05,0.01,-0.10,0.11
0.724,-0.01,-0.00,-0.13,0.13
0.734,-0.06,0.01,-0.12,0.14
0.744,-0.08,0.05,-0.09,0.13
0.754,-0.08,0.09,-0.04,0.13
0.765,-0.10,0.09,0.01,0.13
0.775,-0.10,0.04,0.02,0.11
0.785,-0.09,-0.00,-0.02,0.10
0.795,-0.09,-0.03,-0.10,0.14
0.805,-0.09,-0.03,-0.13,0.16
0.815,-0.08,-0.04,-0.11,0.14
0.825,-0.03,-0.02,-0.05,0.06
0.835,0.01,-0.00,0.01,0.02
0.845,0.04,-0.00,0.05,0.07
0.855,0.07,-0.02,0.04,0.08
0.865,0.10,-0.01,0.01,0.10
0.875,0.11,0.01,-0.04,0.11
0.885,0.11,0.02,-0.11,0.15
0.895,0.11,-0.01,-0.14,0.18
0.906,0.11,-0.03,-0.14,0.18
0.915,0.09,-0.04,-0.12,0.15
0.926,0.06,-0.04,-0.08,0.11
0.936,0.04,-0.06,-0.05,0.09
0.946,0.03,-0.08,-0.04,0.10
0.956,0.04,-0.07,-0.05,0.10
0.966,0.04,-0.04,-0.10,0.11
0.976,0.01,-0.00,-0.13,0.13
0.986,0.03,0.03,-0.16,0.17
0.996,0.06,0.04,-0.15,0.16
1.006,0.09,0.02,-0.12,0.16
1.016,0.11,-0.00,-0.11,0.16
1.026,0.11,-0.06,-0.10,0.16
1.036,0.11,-0.10,-0.10,0.18
1.046,0.12,-0.11,-0.10,0.19
1.056,0.14,-0.10,-0.09,0.19
1.066,0.15,-0.08,-0.08,0.19
1.076,0.17,-0.06,-0.06,0.19
1.087,0.17,-0.07,-0.06,0.19
1.097,0.14,-0.11,-0.05,0.18
1.107,0.12,-0.14,-0.06,0.19
1.117,0.11,-0.18,-0.10,0.23
1.127,0.10,-0.23,-0.15,0.29
1.137,0.12,-0.29,-0.17,0.36
1.147,0.14,-0.30,-0.14,0.36
1.157,0.16,-0.29,-0.15,0.37
1.167,0.17,-0.28,-0.20,0.39
1.177,0.18,-0.31,-0.26,0.44
1.187,0.16,-0.37,-0.29,0.49
1.197,0.12,-0.42,-0.28,0.52
1.207,0.08,-0.45,-0.23,0.51
1.217,0.08,-0.47,-0.19,0.51
1.227,0.07,-0.48,-0.17,0.52
1.238,0.06,-0.51,-0.18,0.55
1.247,-0.04,-0.55,-0.15,0.57
1.258,-0.20,-0.57,-0.07,0.61
1.268,-0.32,-0.50,-0.01,0.60
1.278,-0.31,-0.37,-0.06,0.49
1.288,-0.19,-0.25,-0.19,0.37
1.298,-0.07,-0.25,-0.30,0.39
1.308,-0.01,-0.39,-0.31,0.50
1.318,-0.04,-0.61,-0.27,0.66
1.328,-0.11,-0.81,-0.33,0.89
1.338,-0.22,-1.04,-0.50,1.18
1.348,-0.30,-1.33,-0.57,1.47
1.358,-0.24,-1.65,-0.37,1.71
1.368,-0.16,-1.88,-0.01,1.89
1.378,-0.14,-1.87,0.32,1.90
1.389,-0.20,-1.59,0.50,1.68
1.398,-0.32,-1.24,0.51,1.38
1.409,-0.47,-0.98,0.31,1.13
1.419,-0.61,-0.90,-0.03,1.09
1.429,-0.63,-0.98,-0.34,1.21
1.439,-0.47,-1.16,-0.40,1.31
1.449,-0.21,-1.40,-0.16,1.43
1.459,-0.02,-1.54,0.18,1.55
1.469,0.07,-1.44,0.36,1.49
1.479,0.07,-1.10,0.25,1.13
1.489,0.03,-0.69,0.06,0.69
1.499,-0.02,-0.44,0.01,0.44
1.509,-0.05,-0.36,0.07,0.37
1.519,-0.05,-0.36,0.17,0.40
1.529,0.06,-0.37,0.26,0.46
1.539,0.14,-0.43,0.43,0.63
1.549,0.12,-0.53,0.60,0.81
1.559,0.03,-0.55,0.64,0.85
1.570,-0.03,-0.47,0.58,0.75
1.580,0.01,-0.39,0.46,0.61
1.590,0.09,-0.37,0.36,0.52
1.599,0.12,-0.42,0.29,0.53
1.610,0.11,-0.49,0.30,0.59
1.620,0.11,-0.53,0.30,0.62
1.630,0.22,-0.55,0.19,0.62
1.640,0.31,-0.52,0.09,0.62
1.650,0.27,-0.48,0.11,0.56
1.660,0.22,-0.45,0.19,0.54
1.670,0.28,-0.42,0.23,0.55
1.680,0.26,-0.38,0.15,0.48
1.690,0.06,-0.32,0.00,0.33
1.700,-0.19,-0.33,-0.07,0.39
1.710,-0.37,-0.45,-0.03,0.58
1.721,-0.43,-0.59,0.06,0.73
1.731,-0.41,-0.59,0.08,0.73
1.741,-0.31,-0.45,0.03,0.54
1.750,-0.09,-0.23,-0.07,0.26
1.761,0.17,-0.05,-0.15,0.23
1.771,0.31,0.08,-0.21,0.38
1.781,0.33,0.16,-0.24,0.44
1.791,0.26,0.26,-0.30,0.47
1.801,0.18,0.35,-0.40,0.56
1.811,0.13,0.41,-0.47,0.64
1.821,0.12,0.39,-0.49,0.64
1.831,0.14,0.24,-0.39,0.48
1.841,0.08,0.04,-0.10,0.14
1.851,-0.03,-0.16,0.12,0.20
1.861,-0.13,-0.25,0.10,0.30
1.871,-0.21,-0.23,-0.02,0.31
1.881,-0.29,-0.16,-0.16,0.36
1.891,-0.36,-0.03,-0.22,0.43
1.901,-0.36,0.14,-0.22,0.44
1.911,-0.17,0.34,-0.10,0.39
1.922,0.13,0.52,0.08,0.54
1.932,0.46,0.57,0.21,0.76
1.942,0.73,0.53,0.20,0.92
1.952,0.82,0.42,0.08,0.93
1.962,0.71,0.31,-0.05,0.77
1.972,0.50,0.23,-0.18,0.57
1.982,0.21,0.24,-0.24,0.40
1.992,-0.05,0.33,-0.23,0.41
2.002,-0.20,0.46,-0.08,0.51
2.012,-0.32,0.55,0.14,0.64
2.022,-0.39,0.54,0.26,0.71
2.032,-0.38,0.44,0.25,0.63
2.043,-0.33,0.32,0.16,0.49
2.052,-0.36,0.27,0.04,0.45
2.062,-0.43,0.25,-0.05,0.50
2.073,-0.46,0.38,-0.09,0.60
2.082,-0.46,0.59,-0.14,0.76
2.093,-0.43,0.74,-0.20,0.88
2.103,-0.34,0.80,-0.20,0.89
2.113,-0.14,0.72,-0.11,0.74
2.123,0.15,0.56,-0.04,0.59
2.133,0.42,0.37,0.04,0.57
2.143,0.63,0.25,0.07,0.68
2.153,0.72,0.22,-0.01,0.75
2.163,0.71,0.22,-0.14,0.75
2.173,0.61,0.21,-0.21,0.68
2.183,0.43,0.21,-0.17,0.51
2.193,0.15,0.19,-0.04,0.25
2.203,-0.15,0.30,0.06,0.34
2.213,-0.42,0.46,0.05,0.62
2.223,-0.60,0.53,0.01,0.80
2.234,-0.61,0.54,0.04,0.81
2.243,-0.43,0.45,0.11,0.63
2.254,-0.18,0.29,0.20,0.40
2.264,0.03,0.24,0.30,0.39
2.274,0.20,0.38,0.38,0.57
2.284,0.34,0.61,0.39,0.80
2.294,0.40,0.79,0.25,0.93
2.304,0.41,0.80,0.13,0.91
2.314,0.40,0.66,0.03,0.77
2.324,0.40,0.50,0.10,0.65
2.334,0.35,0.47,0.37,0.69
2.344,0.23,0.58,0.52,0.81
2.354,0.16,0.79,0.50,0.95
2.364,0.24,0.86,0.35,0.96
2.374,0.39,0.78,0.23,0.90
2.384,0.48,0.59,0.19,0.78
2.394,0.45,0.30,0.17,0.57
2.404,0.31,0.00,0.01,0.31
2.415,0.20,-0.20,-0.20,0.35
2.425,0.17,-0.26,-0.33,0.45
2.435,0.16,-0.22,-0.22,0.35
2.445,0.09,-0.21,0.10,0.25
2.455,-0.02,-0.15,0.37,0.40
2.465,-0.07,0.01,0.36,0.37
2.475,-0.02,0.17,0.12,0.21
2.485,0.12,0.33,0.01,0.35
2.495,0.28,0.38,-0.03,0.47
2.505,0.37,0.27,-0.07,0.46
2.515,0.42,0.17,-0.15,0.48
2.525,0.42,0.14,-0.22,0.50
2.535,0.35,0.19,-0.19,0.44
2.545,0.24,0.19,-0.05,0.31
2.555,0.07,0.20,0.20,0.29
2.566,-0.18,0.27,0.36,0.49
2.576,-0.32,0.38,0.25,0.56
2.586,-0.31,0.52,0.01,0.61
2.596,-0.24,0.62,-0.19,0.69
2.606,-0.15,0.47,-0.18,0.53
2.616,-0.04,0.16,-0.03,0.17
2.626,0.08,-0.08,0.01,0.12
2.636,0.12,-0.21,-0.11,0.27
2.646,0.07,-0.21,-0.23,0.32
2.656,-0.02,0.01,-0.14,0.14
2.666,-0.19,0.33,0.08,0.39
2.676,-0.30,0.57,0.15,0.67
2.686,-0.38,0.86,0.08,0.94
2.696,-0.36,0.90,-0.10,0.98
2.706,-0.27,0.68,-0.22,0.76
2.716,-0.10,0.40,-0.15,0.44
2.726,0.00,0.06,-0.10,0.12
2.737,-0.02,-0.18,-0.06,0.19
2.746,-0.07,-0.08,-0.18,0.21
2.757,-0.11,0.18,-0.31,0.37
2.767,-0.19,0.18,-0.16,0.30
2.777,-0.29,0.12,0.12,0.34
2.787,-0.34,0.16,0.37,0.52
2.797,-0.29,0.21,0.41,0.54
2.807,-0.17,0.24,0.27,0.40
2.817,0.02,0.34,0.07,0.34
2.827,0.20,0.40,0.09,0.45
2.837,0.35,0.38,0.22,0.56
2.847,0.43,0.42,0.25,0.65
2.857,0.38,0.44,0.25,0.63
2.867,0.30,0.48,0.46,0.73
2.877,0.24,0.57,0.69,0.93
2.887,0.16,0.63,0.91,1.12
2.897,0.07,0.91,0.95,1.32
2.908,0.05,1.23,0.69,1.41
2.918,0.04,1.48,0.27,1.51
2.928,0.04,1.57,-0.08,1.57
2.938,0.01,1.32,-0.22,1.34
2.948,-0.03,1.11,-0.21,1.13
2.958,-0.04,1.09,-0.03,1.09
2.968,-0.04,1.18,0.35,1.24
2.978,0.04,1.24,0.43,1.32
2.988,0.29,1.38,0.51,1.50
2.998,0.47,1.73,0.47,1.85
3.008,0.66,2.08,0.03,2.18
3.018,0.79,2.45,-0.60,2.64
3.028,0.85,2.79,-1.05,3.10
3.038,0.97,2.85,-1.14,3.22
3.048,1.03,2.79,-0.72,3.06
3.058,0.87,3.01,-0.30,3.15
3.069,0.50,3.64,-0.20,3.68
3.079,0.26,4.33,-0.49,4.37
3.089,0.28,4.79,-0.85,4.88
3.099,0.37,4.97,-1.20,5.12
3.109,0.59,4.89,-1.48,5.14
3.119,0.97,5.00,-1.56,5.32
3.129,1.20,5.30,-1.60,5.66
3.139,1.30,5.55,-1.84,5.99
3.149,1.44,5.78,-2.20,6.35
3.159,1.46,5.94,-2.39,6.57
3.169,1.21,5.96,-2.38,6.53
3.179,1.12,5.80,-2.32,6.34
3.189,1.05,5.79,-2.29,6.32
3.199,0.89,6.17,-2.24,6.63
3.209,0.88,6.96,-2.25,7.37
3.220,1.03,7.47,-2.44,7.92
3.229,1.13,7.59,-2.67,8.12
3.240,0.63,7.73,-2.13,8.04
3.250,0.40,8.03,-1.99,8.28
3.260,0.97,8.17,-2.78,8.69
3.270,0.76,7.23,-3.17,7.93
3.280,-0.28,5.43,-1.32,5.60
3.290,-0.42,5.05,-1.32,5.24
3.300,-0.21,6.59,-2.90,7.21
3.310,0.07,8.40,-2.29,8.71
3.320,0.62,9.62,-1.11,9.70
3.330,1.53,9.83,0.00,9.95
3.340,1.90,9.55,0.35,9.74
3.350,1.39,9.14,-0.81,9.28
3.360,0.90,8.34,-2.00,8.62
3.370,0.78,7.06,-2.60,7.56
3.380,1.07,5.28,-4.27,6.87
3.391,1.38,2.43,-6.65,7.21
3.400,0.96,-1.81,-6.59,6.90
3.411,-0.23,-6.09,-4.54,7.60
3.421,-1.25,-8.77,-3.60,9.57
3.431,-1.43,-9.85,-4.46,10.90
3.441,-1.17,-11.36,-5.62,12.73
3.451,-1.09,-14.65,-6.74,16.16
3.461,-1.72,-19.24,-7.90,20.87
3.471,-2.71,-22.25,-8.90,24.12
3.481,-3.55,-20.77,-9.05,22.93
3.491,-3.98,-14.84,-6.03,16.50
3.501,-2.33,-6.19,0.52,6.63
3.511,-0.61,-1.63,7.12,7.33
3.521,-0.29,-2.31,8.57,8.88
3.531,-0.24,-5.37,4.45,6.98
3.542,-0.32,-8.41,-0.18,8.41
3.551,-0.49,-10.57,-2.15,10.80
3.562,-0.50,-12.34,-1.64,12.46
3.572,-0.79,-13.74,0.04,13.77
3.582,-1.21,-14.55,1.72,14.70
3.592,-2.41,-13.71,2.58,14.16
3.602,-4.14,-11.38,2.00,12.28
3.612,-5.09,-8.70,1.02,10.13
3.622,-5.19,-6.61,0.44,8.41
3.632,-4.38,-5.94,0.43,7.40
3.642,-2.63,-6.88,0.86,7.41
3.652,-0.32,-8.57,1.24,8.67
3.662,1.66,-10.25,1.30,10.46
3.672,2.67,-11.56,0.80,11.89
3.682,2.86,-12.24,-0.14,12.57
3.692,2.46,-12.27,-1.12,12.57
3.702,1.33,-11.80,-1.78,12.01
3.712,-0.35,-11.05,-1.89,11.21
3.723,-1.69,-10.21,-1.38,10.44
3.733,-2.05,-9.62,-0.53,9.85
3.743,-1.68,-9.28,-0.03,9.43
3.753,-1.03,-9.10,-0.15,9.16
3.763,-0.35,-9.16,-0.47,9.18
3.773,0.06,-9.39,-0.91,9.44
3.783,-0.01,-9.96,-1.68,10.10
3.793,-0.45,-10.78,-2.30,11.04
3.803,-1.13,-11.63,-1.86,11.83
3.813,-1.60,-12.32,-0.38,12.43
3.823,-2.01,-12.30,1.28,12.53
3.833,-2.68,-10.93,2.42,11.51
3.843,-3.63,-8.11,3.90,9.70
3.853,-4.13,-3.80,3.51,6.62
3.863,-3.93,1.98,2.10,4.87
3.873,-2.46,9.22,-0.69,9.57
3.883,1.53,16.98,-5.52,17.92
3.893,5.65,25.42,-11.61,28.51
3.904,10.15,34.73,-16.11,39.60
3.914,10.07,41.27,-9.73,43.58
3.924,2.11,35.75,1.00,35.83
3.934,-8.21,21.36,2.56,23.02
3.944,-9.74,11.24,-0.17,14.87
3.954,-0.18,4.57,-3.48,5.75
3.964,7.07,1.87,-6.65,9.88
3.974,11.27,3.39,-4.91,12.76
3.984,13.06,6.52,-2.39,14.80
3.994,10.09,7.22,0.55,12.42
4.004,4.14,5.63,3.22,7.70
4.014,-2.07,4.07,5.00,6.77
4.024,-4.75,4.53,5.40,8.50
4.034,-5.26,6.97,4.03,9.62
4.045,-4.86,9.46,2.76,10.98
4.055,-2.62,10.67,1.18,11.05
4.065,-0.29,10.59,-0.99,10.64
4.075,-0.75,9.46,-1.55,9.62
4.085,-1.68,8.90,-0.74,9.09
4.095,-1.46,8.94,0.57,9.08
4.105,0.18,8.54,1.91,8.75
4.115,2.30,7.33,2.85,8.19
4.125,3.73,5.69,3.13,7.49
4.135,4.39,3.83,2.50,6.34
4.145,4.27,1.72,1.35,4.80
4.155,3.61,-0.49,0.31,3.65
4.165,2.52,-2.39,-0.18,3.48
4.175,1.24,-3.64,-0.42,3.87
4.185,-0.29,-4.36,-0.60,4.41
4.195,-1.90,-4.56,-0.68,4.98
4.205,-3.02,-4.39,-0.64,5.37
4.215,-3.23,-4.25,-0.55,5.36
4.225,-2.68,-4.43,-0.54,5.21
4.236,-1.71,-4.97,-0.64,5.29
4.245,-0.61,-5.62,-0.68,5.70
4.256,0.32,-6.28,-0.55,6.31
4.266,0.94,-6.90,-0.52,6.98
4.276,1.21,-7.47,-0.67,7.60
4.286,1.04,-7.98,-0.96,8.11
4.296,0.22,-8.37,-1.25,8.47
4.306,-1.01,-8.43,-1.50,8.62
4.316,-2.03,-8.07,-1.80,8.51
4.326,-2.42,-7.40,-2.04,8.05
4.336,-2.32,-6.61,-2.09,7.31
4.346,-2.01,-5.79,-2.00,6.44
4.356,-1.66,-4.87,-1.69,5.42
4.366,-1.24,-3.89,-1.26,4.27
4.376,-0.81,-3.20,-0.66,3.37
4.386,-0.74,-3.10,0.28,3.20
4.396,-1.12,-3.30,1.50,3.80
4.407,-0.80,-2.85,2.47,3.86
4.417,0.68,-0.49,3.36,3.46
4.427,2.80,4.63,3.11,6.24
4.437,4.45,10.86,-0.07,11.74
4.447,5.65,15.18,-2.24,16.35
4.457,5.74,15.39,-1.23,16.47
4.467,3.28,11.06,0.71,11.55
4.477,0.10,5.20,1.77,5.49
4.487,-1.82,1.05,1.74,2.72
4.497,-2.36,-1.28,1.64,3.15
4.507,-2.32,-2.89,1.44,3.98
4.517,-2.46,-4.45,0.75,5.14
4.527,-2.75,-5.56,0.28,6.21
4.537,-2.65,-5.48,0.29,6.10
4.547,-1.52,-4.01,0.54,4.32
4.557,0.38,-1.60,0.94,1.90
4.568,1.73,0.54,1.19,2.17
4.578,2.11,1.74,0.99,2.91
4.588,1.91,2.09,0.33,2.85
4.598,1.40,1.83,-0.60,2.38
4.608,0.72,1.34,-1.43,2.09
4.618,-0.11,0.76,-1.73,1.89
4.628,-0.94,0.05,-1.50,1.76
4.638,-1.34,-0.56,-1.20,1.89
4.648,-1.25,-0.99,-1.04,1.91
4.658,-0.93,-1.16,-0.94,1.76
4.668,-0.55,-0.98,-0.77,1.36
4.678,-0.20,-0.56,-0.49,0.77
4.688,0.18,-0.10,-0.21,0.29
4.698,0.56,0.25,-0.06,0.62
4.709,0.82,0.35,-0.06,0.89
4.718,0.82,0.19,-0.15,0.86
4.729,0.60,-0.16,-0.23,0.66
4.739,0.28,-0.57,-0.17,0.66
4.749,0.05,-0.91,0.03,0.92
4.759,-0.01,-1.02,0.26,1.06
4.769,0.06,-0.88,0.30,0.93
4.779,0.17,-0.58,0.11,0.62
4.789,0.22,-0.34,-0.09,0.41
4.799,0.23,-0.15,-0.16,0.31
4.809,0.18,0.03,-0.18,0.26
4.819,0.11,0.22,-0.17,0.30
4.829,0.01,0.37,-0.18,0.41
4.839,-0.11,0.42,-0.22,0.49
4.849,-0.16,0.37,-0.25,0.47
4.859,-0.11,0.22,-0.14,0.28
4.869,-0.04,0.01,0.06,0.07
4.879,0.03,-0.21,0.29,0.36
4.889,0.15,-0.34,0.38,0.53
4.900,0.28,-0.39,0.30,0.57
4.910,0.40,-0.39,0.16,0.58
4.920,0.48,-0.37,0.10,0.62
4.930,0.49,-0.33,0.11,0.60
4.940,0.44,-0.28,0.21,0.56
4.950,0.35,-0.19,0.36,0.53
4.960,0.21,-0.06,0.48,0.53
4.970,0.08,0.10,0.49,0.51
4.980,-0.01,0.19,0.41,0.45
4.990,-0.02,0.17,0.24,0.29
5.000,0.01,0.05,0.13,0.14
5.010,0.04,-0.08,0.11,0.14
5.020,0.10,-0.09,0.15,0.20
5.030,0.17,-0.02,0.18,0.25
5.041,0.18,0.03,0.18,0.26
5.050,0.18,0.05,0.16,0.25
5.061,0.17,0.09,0.12,0.23
5.071,0.14,0.09,0.06,0.18
5.081,0.08,0.02,-0.00,0.08
5.091,-0.01,-0.07,-0.05,0.09
5.101,-0.05,-0.16,-0.03,0.17
5.111,-0.05,-0.23,0.09,0.25
