time,ax,ay,az,atotal
5.121,-0.04,-0.29,0.23,0.37
5.131,-0.07,-0.25,0.32,0.41
5.141,-0.10,-0.14,0.30,0.35
5.151,-0.07,-0.02,0.19,0.20
5.161,-0.01,0.03,0.11,0.12
5.171,0.01,-0.03,0.10,0.10
5.181,0.03,-0.13,0.10,0.17
5.191,0.03,-0.19,0.09,0.21
5.201,0.00,-0.18,0.09,0.20
5.211,-0.04,-0.11,0.08,0.14
5.222,-0.12,-0.05,0.09,0.16
5.231,-0.21,-0.03,0.11,0.24
5.242,-0.31,-0.05,0.13,0.35
5.252,-0.37,-0.08,0.16,0.41
5.262,-0.36,-0.07,0.20,0.42
5.272,-0.28,-0.01,0.21,0.35
5.282,-0.16,0.06,0.23,0.29
5.292,-0.09,0.09,0.21,0.25
5.302,-0.02,0.08,0.16,0.18
5.312,0.03,0.07,0.13,0.15
5.322,0.03,0.07,0.11,0.13
5.332,0.03,0.04,0.13,0.14
5.342,0.02,0.02,0.12,0.12
5.352,-0.00,-0.02,0.03,0.04
5.362,-0.03,-0.08,-0.05,0.10
5.372,-0.07,-0.12,-0.08,0.16
5.382,-0.09,-0.12,-0.02,0.15
5.392,-0.10,-0.11,0.06,0.16
5.402,-0.07,-0.10,0.12,0.17
5.413,-0.01,-0.10,0.12,0.15
5.423,0.04,-0.10,0.05,0.11
5.433,0.08,-0.09,-0.01,0.12
5.443,0.09,-0.07,-0.04,0.12
5.453,0.09,-0.03,-0.03,0.10
5.463,0.06,-0.02,0.02,0.07
5.473,0.04,-0.02,0.02,0.05
5.483,0.04,-0.03,-0.01,0.05
5.493,0.02,-0.03,0.00,0.03
5.503,-0.01,-0.03,0.02,0.04
5.513,-0.02,-0.01,0.07,0.07
5.523,-0.01,-0.02,0.08,0.08
5.533,0.02,-0.03,0.07,0.08
5.543,0.07,-0.00,0.00,0.07
5.553,0.13,0.01,-0.06,0.14
5.563,0.17,-0.01,-0.07,0.18
5.574,0.17,-0.05,-0.04,0.18
5.584,0.18,-0.07,0.03,0.19
5.594,0.18,-0.05,0.05,0.20
5.604,0.19,-0.02,0.04,0.20
5.614,0.26,0.02,-0.40,0.48
5.624,0.30,-0.03,-0.52,0.60
5.634,0.09,-0.08,0.02,0.12
5.644,0.07,-0.08,0.21,0.24
5.654,0.03,-0.02,0.34,0.34
5.664,-0.01,0.09,0.35,0.36
5.674,-0.00,0.10,0.14,0.17
5.684,0.01,0.01,-0.26,0.26
5.694,0.14,-0.03,-0.34,0.37
5.705,0.16,-0.02,-0.17,0.23
5.714,0.23,-0.01,-0.07,0.24
5.725,0.27,-0.02,-0.01,0.27
5.735,0.22,-0.04,0.02,0.23
5.745,0.09,-0.03,-0.04,0.10
5.755,0.07,-0.00,-0.10,0.12
5.765,0.10,-0.09,-0.16,0.21
5.775,0.12,-0.09,-0.12,0.19
5.785,0.19,-0.08,-0.05,0.21
5.795,0.22,-0.09,0.04,0.25
5.805,0.20,-0.06,0.10,0.23
5.815,0.15,-0.00,0.07,0.17
5.825,0.11,0.02,0.00,0.11
5.835,0.09,0.00,-0.03,0.10
5.845,0.06,-0.03,-0.05,0.09
5.855,0.04,-0.08,-0.07,0.11
5.865,0.03,-0.11,-0.07,0.13
5.876,0.02,-0.10,-0.06,0.12
5.886,0.06,-0.08,-0.05,0.11
5.895,0.10,-0.06,-0.02,0.12
5.906,0.16,-0.04,0.00,0.16
5.916,0.19,-0.01,0.02,0.19
5.926,0.18,0.02,0.01,0.18
5.936,0.17,0.05,0.03,0.18
5.946,0.15,0.05,0.03,0.16
5.956,0.13,0.03,0.02,0.13
5.966,0.13,-0.02,0.01,0.13
5.976,0.13,-0.06,0.01,0.14
5.986,0.17,-0.11,0.01,0.21
5.996,0.24,-0.14,0.02,0.28
6.006,0.29,-0.16,0.04,0.33
6.016,0.29,-0.13,0.03,0.32
6.027,0.27,-0.07,0.03,0.28
6.036,0.22,-0.00,0.02,0.22
6.046,0.17,0.05,-0.00,0.18
6.056,0.14,0.08,-0.01,0.16
6.067,0.13,0.10,-0.03,0.17
6.077,0.14,0.10,-0.06,0.18
6.087,0.14,0.04,-0.10,0.17
6.097,0.11,-0.04,-0.12,0.17
6.107,0.07,-0.10,-0.11,0.17
6.117,0.06,-0.09,-0.10,0.15
6.127,0.08,-0.06,-0.08,0.13
6.137,0.09,-0.03,-0.08,0.12
6.147,0.10,-0.03,-0.08,0.13
6.157,0.12,-0.06,-0.09,0.16
6.167,0.12,-0.06,-0.09,0.16
6.177,0.15,-0.01,-0.07,0.16
6.187,0.16,0.03,-0.04,0.16
6.197,0.16,0.05,-0.06,0.17
6.208,0.15,0.06,-0.09,0.18
6.218,0.12,0.05,-0.10,0.17
6.227,0.13,0.03,-0.12,0.18
6.238,0.17,0.01,-0.11,0.21
6.248,0.18,-0.05,-0.08,0.20
6.258,0.16,-0.11,-0.03,0.20
6.268,0.12,-0.12,0.01,0.17
6.278,0.06,-0.08,0.01,0.10
6.288,0.05,-0.02,-0.01,0.06
6.298,0.03,0.03,-0.05,0.06
6.308,0.02,0.07,-0.08,0.10
6.318,0.04,0.07,-0.09,0.12
6.328,0.05,0.05,-0.09,0.11
6.338,0.07,0.01,-0.08,0.11
6.348,0.08,-0.01,-0.09,0.12
6.358,0.09,-0.04,-0.11,0.14
6.368,0.10,-0.06,-0.12,0.17
6.379,0.11,-0.07,-0.12,0.18
6.388,0.10,-0.03,-0.13,0.17
6.398,0.06,-0.00,-0.10,0.12
6.409,0.04,0.02,-0.06,0.08
6.419,0.04,0.00,-0.02,0.05
6.429,0.07,-0.02,0.02,0.08
6.439,0.12,-0.05,0.03,0.14
6.449,0.16,-0.09,0.01,0.18
6.459,0.17,-0.09,-0.03,0.20
6.469,0.18,-0.08,-0.07,0.22
6.479,0.16,-0.07,-0.08,0.20
6.489,0.12,-0.03,-0.08,0.15
6.499,0.07,0.01,-0.06,0.09
6.509,0.02,0.07,-0.05,0.08
6.519,0.00,0.09,-0.04,0.10
6.529,-0.06,0.08,-0.02,0.10
6.539,-0.11,0.05,0.01,0.12
6.550,-0.10,0.03,0.02,0.11
6.560,-0.04,0.02,0.02,0.05
6.570,0.02,0.02,0.01,0.03
6.580,0.08,0.03,-0.03,0.09
6.590,0.09,0.02,-0.08,0.12
6.600,0.07,-0.01,-0.10,0.13
6.610,0.03,-0.03,-0.10,0.11
6.620,-0.00,-0.03,-0.09,0.09
6.630,-0.04,-0.04,-0.07,0.09
6.640,-0.05,-0.06,-0.07,0.10
6.650,-0.06,-0.06,-0.08,0.12
6.660,-0.10,-0.08,-0.07,0.15
6.670,-0.13,-0.08,-0.07,0.17
6.680,-0.16,-0.08,-0.05,0.19
6.691,-0.15,-0.08,-0.03,0.17
6.700,-0.12,0.02,0.00,0.12
6.710,-0.07,0.13,0.02,0.15
6.720,-0.03,0.19,0.02,0.19
6.730,-0.02,0.17,-0.00,0.17
6.741,-0.01,0.06,-0.02,0.07
6.751,0.00,-0.05,-0.02,0.06
6.761,0.03,-0.07,-0.04,0.09
6.771,0.04,-0.03,-0.04,0.07
6.781,0.12,-0.01,-0.01,0.12
6.791,0.16,-0.03,0.03,0.17
6.801,0.06,-0.01,0.06,0.09
6.811,0.05,0.07,0.02,0.09
6.821,-0.03,0.09,-0.14,0.17
6.831,-0.02,0.08,-0.23,0.25
6.841,-0.08,0.09,-0.08,0.14
6.851,-0.85,0.31,0.32,0.96
6.861,-0.55,0.08,0.08,0.56
6.872,-0.27,-0.18,-0.24,0.41
6.882,0.74,-0.14,-0.58,0.95
6.892,0.17,0.31,0.69,0.77
6.902,-1.21,-0.02,0.98,1.56
6.912,-0.18,-0.33,-0.58,0.69
6.922,0.03,-0.16,-0.51,0.53
6.932,-0.32,0.08,0.10,0.34
6.942,-0.29,0.16,0.39,0.51
6.952,-0.10,0.15,0.36,0.41
6.962,-0.11,0.14,0.24,0.30
6.972,-0.38,0.07,0.31,0.49
6.982,-0.23,0.02,0.23,0.32
6.992,-0.13,-0.02,0.03,0.13
7.002,-0.16,-0.11,0.03,0.20
7.012,-0.07,-0.20,0.04,0.21
7.023,-0.00,-0.31,-0.00,0.31
7.033,-0.01,-0.43,-0.01,0.43
7.043,0.06,-0.41,-0.05,0.42
7.052,0.12,-0.36,0.00,0.38
7.062,0.01,-0.22,0.06,0.23
7.073,0.49,-0.42,0.08,0.65
7.083,0.59,-0.49,-0.09,0.77
7.093,0.40,-0.14,-0.23,0.48
7.103,0.69,-0.26,-0.17,0.76
7.113,-0.23,-0.07,0.49,0.55
7.123,-0.61,0.06,0.27,0.67
7.133,-0.45,0.26,0.52,0.73
7.143,-0.43,0.27,0.44,0.67
7.153,-0.34,0.08,0.20,0.40
7.163,-0.23,-0.46,0.07,0.51
7.173,0.05,-0.85,-0.30,0.90
7.183,0.69,-0.66,-0.40,1.04
7.193,0.65,-0.37,0.38,0.83
7.204,0.26,-0.03,0.86,0.90
7.214,0.31,0.30,0.78,0.89
7.223,0.01,0.32,0.10,0.34
7.234,-0.07,0.52,-0.27,0.59
7.244,0.22,0.47,1.69,1.77
7.254,-0.31,0.08,0.73,0.80
7.264,-1.46,0.16,1.12,1.85
7.274,-1.55,0.40,1.21,2.00
7.284,-0.56,-0.03,-0.18,0.58
7.294,1.54,-0.84,-0.70,1.89
7.304,1.17,-0.91,0.90,1.73
7.314,-0.31,-0.79,1.50,1.73
7.324,0.29,-0.19,1.02,1.08
7.334,0.32,-0.19,0.57,0.68
7.344,0.78,-0.33,0.33,0.90
7.354,0.34,-0.37,0.81,0.95
7.364,-0.31,-0.58,1.16,1.34
7.375,0.10,-1.04,0.66,1.24
7.385,0.28,-1.25,0.31,1.32
7.394,0.89,-1.16,-0.40,1.52
7.405,1.23,-0.58,0.44,1.43
7.415,1.38,-0.13,0.50,1.48
7.425,0.56,0.24,0.31,0.69
7.435,-1.44,0.77,-0.21,1.65
7.445,-2.76,1.54,-1.46,3.47
7.455,-1.62,2.01,-0.72,2.69
7.465,0.11,1.92,1.34,2.35
7.475,0.43,2.15,1.95,2.94
7.485,0.77,1.79,2.57,3.23
7.495,1.82,2.08,2.82,3.95
7.505,0.49,1.34,2.87,3.20
7.515,-2.27,-1.39,1.24,2.94
7.525,-3.48,-2.55,0.11,4.31
7.536,-1.84,-2.07,-0.51,2.82
7.545,-0.03,-1.53,0.34,1.57
7.556,0.80,-1.50,1.27,2.12
7.566,0.91,-1.68,1.23,2.27
7.576,0.60,0.58,1.32,1.56
7.586,-1.05,1.90,2.49,3.31
7.596,-2.77,1.42,2.15,3.78
7.606,-2.11,0.14,0.61,2.20
7.616,-0.92,-1.47,0.05,1.74
7.626,-0.67,-2.78,0.66,2.93
7.636,-0.10,-2.62,-0.24,2.63
7.646,0.50,-1.49,-3.32,3.67
7.656,0.66,-1.10,-4.79,4.96
7.666,-0.17,-1.18,-1.84,2.19
7.676,-4.85,-0.69,5.98,7.73
7.687,-2.84,-0.21,3.72,4.68
7.696,2.62,0.81,-1.18,2.98
7.707,2.05,0.27,-1.08,2.33
7.717,0.70,-1.69,-1.90,2.64
7.727,-0.77,1.84,6.87,7.15
7.737,5.18,0.64,6.77,8.55
7.747,7.00,0.30,3.46,7.82
7.757,1.59,0.93,4.62,4.97
7.767,-1.29,0.22,2.35,2.69
7.777,-1.11,0.27,-1.20,1.66
7.787,-0.82,0.87,-3.49,3.69
7.797,-1.16,1.38,-3.59,4.02
7.807,-0.10,1.60,-3.06,3.46
7.817,1.53,2.06,-1.16,2.82
7.827,2.08,3.07,0.51,3.75
7.837,0.48,3.78,0.67,3.87
7.847,-2.27,3.96,1.00,4.67
7.857,-3.20,2.98,0.95,4.47
7.867,-2.94,0.74,1.15,3.24
7.877,-2.76,-1.45,1.65,3.52
7.888,-2.29,-2.81,2.05,4.17
7.898,-1.58,-2.55,2.64,4.00
7.908,-1.89,-1.47,2.66,3.58
7.918,-3.10,-0.35,2.58,4.05
7.928,-3.61,0.31,1.69,4.00
7.938,-3.24,0.46,0.08,3.28
7.948,-3.09,0.46,-0.44,3.16
7.958,-3.17,-0.13,-0.81,3.27
7.968,-3.21,-0.52,-1.17,3.46
7.978,-3.13,-0.06,-1.28,3.38
7.988,-3.62,-1.30,0.34,3.86
7.998,-1.88,1.38,-0.14,2.34
8.009,-0.70,4.15,-0.82,4.29
8.018,-0.90,3.81,-0.26,3.92
8.029,-2.04,-2.23,-1.68,3.46
8.039,-1.78,-8.30,-3.95,9.37
8.049,-0.22,-9.73,-4.79,10.84
8.059,0.41,-5.65,-1.86,5.96
8.069,-0.36,-4.32,0.67,4.38
8.079,-0.17,-2.86,0.12,2.86
8.089,0.34,-1.07,-1.72,2.05
8.099,0.26,0.58,-1.93,2.03
8.109,-0.06,2.35,0.20,2.36
8.119,0.17,4.22,2.40,4.85
8.129,0.20,5.40,2.71,6.05
8.139,-0.32,5.33,2.15,5.76
8.149,-1.22,4.77,1.33,5.10
8.159,-2.23,4.59,1.65,5.36
8.169,-2.48,5.08,2.65,6.24
8.179,-1.64,6.14,3.27,7.15
8.189,-0.87,7.20,3.51,8.06
8.199,-1.41,7.33,3.53,8.25
8.210,-1.96,6.43,2.98,7.35
8.220,-1.34,5.11,-2.09,5.68
8.230,-1.81,3.88,0.68,4.34
8.240,-1.45,4.34,1.19,4.73
8.250,-0.52,5.19,0.92,5.30
8.260,-1.10,5.56,2.21,6.08
8.270,-1.28,5.62,0.98,5.84
8.280,-3.08,3.76,1.55,5.10
8.290,-4.51,1.69,1.90,5.18
8.300,-4.43,1.06,1.30,4.74
8.310,-4.11,1.49,0.29,4.38
8.320,-4.17,1.49,-0.52,4.46
8.330,-4.30,1.10,-1.23,4.61
8.341,-4.13,0.97,-1.70,4.58
8.350,-2.80,0.28,-2.29,3.63
8.360,-1.74,-0.63,-2.60,3.19
8.370,-2.55,-0.83,-2.28,3.52
8.381,-3.54,-0.20,-1.28,3.77
8.391,-2.70,1.33,-1.09,3.20
8.401,-1.54,2.34,-1.38,3.12
8.411,-0.91,1.84,-1.29,2.42
8.421,-0.49,0.57,-1.18,1.40
8.431,-0.23,-0.27,-1.20,1.26
8.441,-0.33,-0.68,-0.71,1.04
8.451,-0.47,-0.75,-0.29,0.93
8.461,-0.29,-0.41,-0.04,0.50
8.471,0.36,-0.20,-0.49,0.64
8.481,0.66,-0.25,-1.05,1.27
8.491,0.37,-0.30,-1.36,1.44
8.501,0.21,-0.01,-1.22,1.24
8.511,0.53,0.64,-0.47,0.96
8.521,1.22,0.84,-0.48,1.56
8.531,1.71,0.53,-0.54,1.87
8.542,1.77,0.18,-0.40,1.83
8.552,1.90,0.17,-1.08,2.19
8.562,2.04,0.12,-2.07,2.91
8.572,2.07,-0.24,-2.22,3.05
8.582,2.04,-0.32,-1.93,2.82
8.592,1.89,-0.04,-1.51,2.42
8.602,2.46,-0.04,-0.81,2.59
8.612,4.80,-0.02,0.77,4.86
8.622,5.42,-0.09,1.42,5.60
8.632,7.24,1.10,1.89,7.56
8.643,4.02,1.35,-2.19,4.77
8.652,2.68,0.17,-1.75,3.21
8.662,1.73,-0.69,-0.83,2.04
8.672,0.55,-0.84,-0.50,1.12
8.682,-0.61,-0.36,0.18,0.73
8.692,-0.80,-0.24,1.33,1.57
8.703,-0.83,-0.10,1.98,2.14
8.712,-1.34,0.33,1.56,2.09
8.723,-1.79,1.04,0.61,2.16
8.733,-1.78,1.59,-0.54,2.44
8.743,-1.29,1.61,-1.45,2.53
8.753,-0.69,1.61,-1.69,2.44
8.763,-0.06,1.56,-1.16,1.95
8.773,0.99,1.61,-0.68,2.01
8.783,2.59,1.54,-0.51,3.06
8.793,3.40,1.50,-0.57,3.76
8.803,2.96,1.92,-0.52,3.57
8.813,1.68,2.59,-0.35,3.11
8.823,-0.67,2.90,0.83,3.09
8.833,-4.11,3.08,2.06,5.54
8.843,-5.38,1.87,1.33,5.85
8.853,-4.43,1.04,0.11,4.55
8.863,-3.41,1.03,-0.49,3.60
8.874,-2.46,1.53,-0.94,3.04
8.884,-1.25,1.80,-0.96,2.39
8.894,-0.18,1.99,-1.10,2.28
8.904,0.56,2.11,-1.49,2.65
8.914,1.10,1.76,-1.49,2.56
8.924,1.53,1.19,-0.93,2.15
8.934,1.66,0.66,-0.47,1.84
8.944,1.36,0.22,-0.11,1.38
8.954,0.89,0.03,0.55,1.04
8.964,0.28,0.17,0.81,0.87
8.974,0.06,0.18,0.75,0.78
8.984,0.32,-0.08,0.42,0.53
8.994,0.57,0.01,0.36,0.67
9.004,0.53,0.09,0.78,0.95
9.014,0.52,-0.21,1.30,1.42
9.024,0.44,-0.82,1.15,1.48
9.034,0.31,-1.52,0.52,1.63
9.044,0.26,-1.87,-0.04,1.89
9.054,0.22,-1.74,-0.68,1.88
9.065,0.21,-1.34,-1.15,1.78
9.075,0.30,-0.93,-1.19,1.54
9.085,0.46,-0.64,-1.10,1.36
9.095,0.61,-0.50,-1.23,1.46
9.105,0.70,-0.46,-1.61,1.81
9.115,0.68,-0.38,-2.23,2.37
9.125,0.02,-0.49,-2.53,2.58
9.135,-1.75,-0.52,-2.37,3.00
9.145,-3.45,0.63,0.26,3.52
9.155,-0.87,2.66,0.78,2.91
9.165,1.77,3.24,0.30,3.71
9.175,1.75,2.06,-0.18,2.71
9.185,0.91,0.32,-0.99,1.38
9.195,0.28,-0.89,-1.37,1.66
9.206,0.31,-1.18,-1.20,1.71
9.216,0.44,-1.21,-0.89,1.57
9.226,0.59,-1.62,-0.30,1.75
9.236,0.67,-2.01,0.05,2.12
9.246,0.59,-2.01,-0.31,2.11
9.256,0.56,-1.63,-0.55,1.80
9.266,0.59,-1.16,-0.20,1.32
9.276,0.58,-0.69,0.16,0.92
9.286,0.84,-0.29,0.59,1.06
9.296,0.99,-0.26,0.94,1.39
9.306,0.91,-0.59,0.77,1.33
9.316,0.81,-0.61,0.54,1.15
9.326,0.98,-0.37,0.88,1.37
9.336,0.99,-0.31,0.47,1.14
9.346,0.75,-0.50,-1.00,1.35
9.356,0.82,-0.74,-1.73,2.06
9.366,1.00,-0.88,-1.36,1.90
9.376,1.05,-0.81,-0.71,1.50
9.387,1.04,-0.56,-0.38,1.24
9.397,1.04,-0.22,-0.40,1.14
9.407,0.99,0.00,-0.60,1.16
9.417,0.90,0.06,-0.39,0.98
9.427,0.87,0.07,-0.11,0.88
9.437,0.77,0.10,-0.21,0.80
9.447,0.64,0.07,-0.49,0.81
9.457,0.40,0.01,-0.52,0.65
9.467,0.09,-0.04,-0.36,0.38
9.477,-0.17,-0.12,-0.53,0.57
9.487,-0.46,-0.22,-0.79,0.94
9.497,-0.71,-0.24,-0.78,1.08
9.507,-0.70,-0.18,-0.61,0.94
9.517,-0.40,-0.05,-0.57,0.70
9.527,-0.36,0.17,0.14,0.42
9.538,-0.15,0.29,0.24,0.41
9.548,0.39,0.41,-0.04,0.57
9.558,0.39,0.38,-0.11,0.56
9.568,0.36,0.26,-0.28,0.52
9.578,0.48,0.33,-0.01,0.58
9.588,0.58,0.53,-0.00,0.78
9.598,0.44,0.66,0.03,0.80
9.608,0.41,0.60,0.26,0.77
9.618,0.51,0.49,0.32,0.78
9.628,0.71,0.47,0.16,0.87
9.638,1.02,0.54,0.12,1.16
9.648,1.29,0.57,0.29,1.44
9.658,1.30,0.51,0.47,1.47
9.668,1.02,0.53,0.57,1.28
9.678,0.73,0.57,0.65,1.13
9.688,0.41,0.59,0.52,0.88
9.698,0.16,0.70,0.30,0.78
9.709,0.08,0.88,0.29,0.93
9.719,-0.10,1.19,0.28,1.22
9.729,-0.34,1.23,0.21,1.29
9.739,-0.38,1.13,0.23,1.21
9.749,-0.41,1.11,0.34,1.23
9.759,-0.43,1.03,0.57,1.26
9.769,-0.45,0.80,0.85,1.25
9.779,-0.55,0.43,1.02,1.23
9.789,-0.56,-0.05,1.02,1.17
9.799,-0.49,-0.49,1.03,1.24
9.809,-0.35,-0.76,1.01,1.31
9.819,-0.27,-0.79,0.82,1.17
9.829,-0.27,-0.66,0.61,0.94
9.839,-0.29,-0.64,0.45,0.83
9.850,-0.25,-0.75,0.43,0.90
9.860,-0.22,-0.94,0.27,1.01
9.869,-0.23,-1.20,-0.13,1.23
9.880,-0.21,-1.55,-0.61,1.68
9.890,-0.19,-1.77,-0.89,1.99
9.900,-0.26,-1.76,-1.03,2.06
9.910,-0.35,-1.59,-1.09,1.96
9.920,-0.48,-1.33,-1.04,1.75
9.930,-0.68,-1.09,-0.90,1.56
9.940,-0.86,-0.94,-0.73,1.47
9.950,-0.88,-0.83,-0.67,1.39
9.960,-0.81,-0.77,-0.83,1.39
9.970,-0.68,-0.70,-0.99,1.39
9.980,-0.58,-0.48,-0.97,1.23
9.990,-0.56,-0.12,-0.97,1.12
10.000,-0.57,0.17,-0.85,1.04
10.010,-0.66,0.29,-0.43,0.84
10.020,-0.74,0.14,-0.03,0.75
10.030,-0.83,-0.27,0.08,0.87
10.041,-0.91,-0.80,0.14,1.22
10.051,-0.90,-1.22,0.25,1.54
10.061,-0.79,-1.38,0.49,1.66
10.071,-0.52,-1.34,0.59,1.55
10.081,-0.18,-1.15,0.53,1.28
10.091,0.04,-0.86,0.35,0.93
10.101,0.18,-0.56,-0.03,0.59
10.111,0.33,-0.30,-0.31,0.54
10.121,0.43,-0.09,-0.53,0.69
10.131,0.56,0.10,-0.74,0.93
10.141,0.59,0.26,-0.84,1.06
10.151,0.43,0.40,-0.72,0.93
10.161,0.25,0.54,-0.45,0.75
10.171,0.15,0.58,-0.31,0.68
10.181,0.03,0.56,-0.26,0.62
10.191,-0.11,0.47,-0.23,0.53
10.201,-0.17,0.46,0.03,0.49
10.211,-0.04,0.51,-0.01,0.51
10.222,-0.06,0.37,-0.84,0.92
10.232,-0.20,0.13,-0.25,0.34
10.242,-0.23,0.27,0.97,1.03
10.252,0.04,0.54,1.37,1.48
10.262,0.09,0.56,1.17,1.30
10.272,0.11,0.36,0.63,0.74
10.282,-0.09,0.05,-0.00,0.10
